,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Tot Deaths/1M pop
155,Haiti,33,0,3,0,0,30,0,3.0,0.3
156,Saint Martin,32,0,2,0,11,19,5,828.0,52.0
157,Somalia,25,0,2,1,2,21,2,2.0,0.1
158,Syria,25,0,2,0,5,18,0,1.0,0.1
159,Libya,25,0,1,0,9,15,0,4.0,0.1
160,Antigua and Barbuda,23,2,2,0,0,21,1,235.0,20.0
161,Equatorial Guinea,21,0,0,0,3,18,0,15.0,0.0
162,Mozambique,21,0,0,0,2,19,0,0.7,0.0
163,Maldives,20,0,0,0,14,6,0,37.0,0.0
164,Angola,19,0,2,0,4,13,0,0.6,0.06
165,Sudan,19,0,2,0,4,13,0,0.4,0.05
166,Laos,19,0,0,0,0,19,0,3.0,0.0
167,Chad,18,0,0,0,2,16,0,1.0,0.0
168,New Caledonia,18,0,0,0,1,17,0,63.0,0.0
169,Mongolia,17,1,0,0,4,13,0,5.0,0.0
170,Dominica,16,0,0,0,8,8,0,222.0,0.0
171,Fiji,16,0,0,0,0,16,0,18.0,0.0
172,Namibia,16,0,0,0,3,13,0,6.0,0.0
173,Saint Lucia,15,0,0,0,4,11,0,82.0,0.0
174,Zimbabwe,14,0,3,0,0,11,0,0.9,0.2
175,Belize,14,0,2,0,0,12,1,35.0,5.0
176,Curaçao,14,0,1,0,8,5,0,85.0,6.0
177,Nepal,14,2,0,0,1,13,0,0.5,0.0
178,Grenada,14,0,0,0,0,14,2,124.0,0.0
179,Eswatini,14,0,0,0,7,7,0,12.0,0.0
180,Malawi,13,0,2,0,0,11,1,0.7,0.1
181,Botswana,13,0,1,0,0,12,0,6.0,0.4
182,Saint Kitts and Nevis,12,0,0,0,0,12,0,226.0,0.0
183,St. Vincent Grenadines,12,0,0,0,1,11,0,108.0,0.0
184,CAR,11,3,0,0,3,8,0,2.0,0.0
185,Greenland,11,0,0,0,11,0,0,194.0,0.0
186,Montserrat,11,2,0,0,1,10,1,2204.0,0.0
187,Seychelles,11,0,0,0,0,11,0,112.0,0.0
188,Cabo Verde,10,2,1,0,1,8,0,18.0,2.0
189,Suriname,10,0,1,0,4,5,0,17.0,2.0
190,Sierra Leone,10,0,0,0,0,10,0,1.0,0.0
191,MS Zaandam,9,0,2,0,0,7,0,0.0,0.0
192,Gambia,9,0,1,0,2,6,0,4.0,0.4
193,Nicaragua,9,0,1,0,4,4,0,1.0,0.2
194,Turks and Caicos,9,0,1,0,0,8,0,232.0,26.0
195,Vatican City,8,0,0,0,2,6,0,9988.0,0.0
196,Mauritania,7,0,1,0,2,4,0,2.0,0.2
197,St. Barth,6,0,0,0,4,2,0,607.0,0.0
198,Western Sahara,6,0,0,0,0,6,0,10.0,0.0
199,Bhutan,5,0,0,0,2,3,0,6.0,0.0
200,Burundi,5,0,0,0,0,5,0,0.4,0.0
201,Falkland Islands,5,0,0,0,1,4,0,1437.0,0.0
202,Sao Tome and Principe,4,0,0,0,0,4,0,18.0,0.0
203,South Sudan,4,0,0,0,0,4,0,0.4,0.0
204,Timor-Leste,4,2,0,0,1,3,0,3.0,0.0
205,Anguilla,3,0,0,0,1,2,0,200.0,0.0
206,British Virgin Islands,3,0,0,0,2,1,0,99.0,0.0
207,Caribbean Netherlands,3,0,0,0,0,3,0,114.0,0.0
208,Papua New Guinea,2,0,0,0,0,2,0,0.2,0.0
209,Saint Pierre Miquelon,1,0,0,0,0,1,0,173.0,0.0
210,Yemen,1,0,0,0,0,1,0,0.03,0.0
211,China,82160,108,3341,2,77663,1156,121,57.0,2.0
