,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Tot Deaths/1M pop
107,San Marino,356,12,35,1,53,268,14,10492.0,1032.0
108,Kyrgyzstan,339,41,5,0,44,290,5,52.0,0.8
109,Mauritius,318,0,9,0,23,286,3,250.0,7.0
110,Nigeria,305,0,7,0,58,240,2,1.0,0.03
111,Senegal,278,13,2,0,152,124,1,17.0,0.1
112,Bolivia,275,7,20,1,2,253,3,24.0,2.0
113,Palestine,268,1,2,0,46,220,0,53.0,0.4
114,Montenegro,262,5,2,0,5,255,7,417.0,3.0
115,Vietnam,258,1,0,0,144,114,8,3.0,0.0
116,Georgia,234,0,3,0,56,175,6,59.0,0.8
117,DRC,223,0,20,0,16,187,0,2.0,0.2
118,Guinea,212,0,0,0,15,197,0,16.0,0.0
119,Isle of Man,204,3,1,0,112,91,11,2399.0,12.0
120,Sri Lanka,198,8,7,0,54,137,5,9.0,0.3
121,Kenya,191,2,7,0,24,160,2,4.0,0.1
122,Mayotte,191,0,2,0,50,139,4,700.0,7.0
123,Djibouti,187,37,2,1,36,149,0,189.0,2.0
124,Faeroe Islands,184,0,0,0,145,39,0,3766.0,0.0
125,Venezuela,175,0,9,0,84,82,6,6.0,0.3
126,Martinique,155,0,6,0,50,99,19,413.0,16.0
127,Guadeloupe,143,0,8,0,67,68,13,357.0,20.0
128,Guatemala,137,11,3,0,19,115,3,8.0,0.2
129,Brunei,136,0,1,0,104,31,2,311.0,2.0
130,Paraguay,133,4,6,0,18,109,1,19.0,0.8
131,Gibraltar,127,0,0,0,69,58,1,3770.0,0.0
132,Cambodia,120,1,0,0,75,45,1,7.0,0.0
133,El Salvador,118,1,6,0,19,93,4,18.0,0.9
134,Rwanda,118,0,0,0,18,100,0,9.0,0.0
135,Trinidad and Tobago,109,0,8,0,3,98,0,78.0,6.0
136,Madagascar,102,9,0,0,11,91,1,4.0,0.0
137,Monaco,90,0,1,0,5,84,4,2293.0,25.0
138,Mali,87,0,7,0,22,58,0,4.0,0.3
139,Aruba,86,0,0,0,27,59,0,805.0,0.0
140,French Guiana,83,0,0,0,43,40,1,278.0,0.0
141,Liechtenstein,79,0,1,0,55,23,0,2072.0,26.0
142,Togo,76,0,3,0,25,48,0,9.0,0.4
143,Ethiopia,69,4,3,0,10,56,0,0.6,0.03
144,Barbados,67,0,4,0,11,52,4,233.0,14.0
145,Jamaica,65,2,4,0,13,48,0,22.0,1.0
146,Congo,60,0,5,0,5,50,0,11.0,0.9
